Country,Regional indicator,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Fertility rate,Urban Population (%),Sunshine duration per Year
Lebanon,Middle East and North Africa,4.771500111,9.3617239,0.824338138,67.10658264,0.5513575079999999,-0.06121527,0.90225625,1.71,88.9,3130.889666666667
Burkina Faso,Sub-Saharan Africa,4.768700123,7.46854496,0.7129436140000001,53.88945389,0.665563583,-0.019080516000000002,0.739795029,4.51,30.6,3209.0
Gambia,Sub-Saharan Africa,4.750599861,7.321814537000001,0.6931687,55.01201629999999,0.733163178,0.34319871700000004,0.6907178159999999,4.298235294117647,62.6,3070.0
Mali,Sub-Saharan Africa,4.729300021999999,7.629852295,0.7314689759999999,51.72698212,0.71156615,-0.044366925999999994,0.839328408,5.72,43.9,3099.866666666667
Nigeria,Sub-Saharan Africa,4.724100113,8.57662487,0.73721689,49.86190796,0.759578407,0.033745807,0.861874342,4.72,52.0,2669.08
Armenia,Commonwealth of Independent States,4.676799774,9.100476265,0.7574794290000001,66.75065613,0.7120178340000001,-0.13877961,0.7735447879999999,1.65,63.3,2474.0
Georgia,Commonwealth of Independent States,4.672599792,9.226100922,0.629033029,64.49520874,0.8016415240000001,-0.22892037,0.665944695,1.75,59.5,2046.0
Iran,Middle East and North Africa,4.672399998,9.813719749,0.6946896909999999,66.00614929,0.647873282,0.11789110300000001,0.714635968,1.94,75.9,2826.1
Jordan,Middle East and North Africa,4.6333999630000005,9.025999069,0.80216372,66.79975128,0.75104779,-0.162565202,0.700344324,3.04,91.4,3130.889666666667
Mozambique,Sub-Saharan Africa,4.623600006,7.069345951,0.723874032,54.20582199,0.864451885,0.032375867999999995,0.683019102,4.97,37.1,2838.0
Kenya,Sub-Saharan Africa,4.583000183,8.02977562,0.702652037,60.09693146,0.829747558,0.294681519,0.831499159,3.43,28.0,3030.0249999999996
Namibia,Sub-Saharan Africa,4.571100235,9.203141212,0.846880972,56.50148773,0.767520964,-0.18530646,0.8514497879999999,3.07,52.0,3737.5
Ukraine,Commonwealth of Independent States,4.56069994,9.010690689,0.878879368,64.60678101,0.663081884,-0.030933706000000002,0.920636714,1.56,69.6,1955.0
Liberia,Sub-Saharan Africa,4.557899952,7.054380417000001,0.70928055,56.09631348,0.735268712,0.04227322,0.8563759329999999,4.9,52.1,2835.166111111111
Palestinian Territories,Middle East and North Africa,4.552800179,8.389223099,0.825295925,62.25,0.645791829,-0.162079096,0.824199975,2.43,76.46874999999999,3130.889666666667
Uganda,Sub-Saharan Africa,4.43200016,7.500389576,0.7649946209999999,55.70820236,0.7317139509999999,0.099487431,0.8367378120000001,5.54,25.0,2304.0
Chad,Sub-Saharan Africa,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.8027608390000001,5.68,23.5,3353.2
Tunisia,Middle East and North Africa,4.392199993,9.314972877999999,0.6887185570000001,66.89785767,0.593361557,-0.216413811,0.867590249,2.06,69.6,3049.95
